0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Kinky,The Simple Life: Campfire Songs,My Bonnie Lies Over the Ocean,2007,TRABMJH128F931DF5D,6JiwOvXCxms8dENHSTnbTQ,0.604,0.972,7,-4.249,1,0.0418,0.0568,0.724,0.538,0.503,145.002,101733
Los Originales De San Juan,Perro Malagradecido,Librado Maldonado,2002,TRABNQN128F4271546,2nu5imEZVk352OG8maRU3p,0.484,0.627,5,-7.049,1,0.144,0.202,0,0.292,0.868,177.422,263573
Selena,La Leyenda,Ven Conmigo/Perdoname (Live),1993,TRABNIP12903CB604F,6Yz9yZNqvKDmf5EGzM3yr6,0.385,0.68,9,-11.351,0,0.0648,0.141,0.0000342,0.71,0.674,101.019,394013
Barbarito Diez,Asi,Flores Negras,1996,TRABONG128EF36206F,70SdkB4zFgGm2318CdYgx8,0.59,0.321,0,-8.064,1,0.0349,0.801,0.0000155,0.183,0.702,129.359,183647
Emilio,10 Aniversario,Mira Nina,1999,TRABPJN128F145DB70,2CqTaHTYkUErIQWnRtsyjU,0.6,0.498,10,-13.982,1,0.047,0.0911,0,0.0867,0.965,205.152,165973
Jane Winther,Prayer,The Lords Prayer,2005,TRABPCJ128F930903D,6AxU0tQbKRmjsopvpHfoRw,0.328,0.0121,8,-16.241,1,0.0428,0.95,0.00000119,0.0975,0.0596,78.933,145693
Blind Blake,Blind Blake Vol. 1 (1926 - 1927),Blake's Worried Blues,2015,TRABPEY128F429F541,2MpsRzW6v3cyKvsqSMyqc3,0.666,0.178,0,-18.12,1,0.0622,0.835,0.00233,0.106,0.651,86.717,186800
Antonis Remos,Antonis Remos Live,To Agalma,2004,TRABQRQ128F92F39A6,5s8PGfSXfmDeAzRcwnonCf,0.556,0.547,0,-10.016,0,0.035,0.377,0,0.816,0.425,117.594,140653
Gaetano Donizetti,Roberto Devereux,Donizetti: Roberto Devereux: L'ore trascorrono...,1998,TRABQYT128F92F02C7,5I8hqjKcHfdCuuViKXxT51,0.177,0.144,4,-21.07,1,0.037,0.97,0.255,0.105,0.207,88.189,206680
Rummage,thahandclaspinduction,Megatrend,2004,TRABQEW128F93214A8,681E5rxhEIJD6TAeEs5kmJ,0.394,0.762,1,-5.724,1,0.288,0.000662,0.0338,0.166,0.751,187.72,178133
David Hudson,Primal Elegance One,Arrival,2016,TRABQDK128F9308F8E,6Ccn0uyx31P2eiqtjrKbWN,0.441,0.304,1,-11.706,0,0.0529,0.909,0.947,0.139,0.149,86.811,320907
Maysa,Feel The Fire,This Time I'll Be Sweeter,2005,TRABQZL12903CEF994,5gIlqAd0FDvU7Vu1Q3uEdO,0.375,0.292,11,-7.338,1,0.0289,0.845,0,0.163,0.0986,132.29,230307
Justin,Justin In Love With HK Philharmonic Concert Live,Erica,2015,TRABQLO128EF34E48A,52eRIP6RTkEqKQppTmilIN,0.82,0.481,9,-9.008,1,0.063,0.516,0,0.0996,0.624,92.022,239026
David Summers,Perdido En El Espacio,Las Murallas De Jericó,1997,TRABQEB128F4274D24,0e99xOHqtnXJ8BaQiOY7f0,0.541,0.447,0,-9.767,1,0.0262,0.121,0.00462,0.0702,0.315,132.839,321333
Adr Lavey,Leviathans Creations,In The Name of the Father,2005,TRABQFJ12903CB6C29,1yVOaxUKcMPo00AP2jhuN1,0.863,0.792,1,-6.142,1,0.255,0.0043,0,0.337,0.544,95.959,197107
Bill Boyd's Cowboy Ramblers,Saturday Night Rag 1934-36 Volume 1,I Can't Tame Wild Women,2003,TRABQGT128F42566D3,6plQ2iKpap0i3LnRCAFeYR,0.833,0.339,9,-11.6,1,0.0517,0.972,0.00687,0.326,0.9,99.163,160453
Vickie Winans,Share the Laughter,Little Timmy,2003,TRABQIR12903CF04AD,3XlURVlMhr9ULBTl4eLxjx,0.701,0.233,10,-19.459,0,0.9,0.663,0,0.085,0.457,118.733,359160
Little Freddie King,Gotta Walk With da King,Bus Station Blues (Live),2010,TRABREH12903CE49E8,4TEoDnVmnfJX8sVlafv3NH,0.468,0.418,9,-12.004,1,0.0273,0.513,0.136,0.696,0.506,98.019,443693
John Brown,TheBurbsLife,Party In The Burbs,2009,TRABRSM12903CAF98F,1ZDluJmxOWj2nsnuGNEx5P,0.659,0.949,4,-3.492,0,0.175,0.36,0,0.633,0.705,95.113,151469
Vickie Winans,Live In Detroit (Expanded Edition),Great Is Thy Faithfulness,1997,TRABRRN12903CF084B,1lGJB8Aa4CRO19gbIwjhJa,0.194,0.263,8,-15.144,1,0.0389,0.554,0,0.392,0.134,82.942,477053
Andy Russell,Andy Russell. Themes Only For Lovers,I Love You And You Love Me,2007,TRABRKV12903CE589C,7zhc5lOCjJfsokN9uOSqFS,0.318,0.641,0,-5.678,1,0.043,0.877,0.139,0.173,0.456,109.12,156947
Asleep At The Wheel,House Of Blue Lights,Big Balls And Cow Town,2012,TRABSPB12903D1337A,5fnCIXdQqjFUznKrPhUeyz,0.661,0.613,0,-10.016,1,0.0454,0.171,0.0000916,0.981,0.857,126.297,249382
1. Futurologischer Congress,Patchwork,La Excursion,2006,TRABSNU128F14AFD7F,36vE9rAkGY1W7zLPtIPZCj,0.391,0.487,0,-11.152,1,0.0448,0.483,0.0145,0.134,0.473,80.223,107453
Chaotica,Turbocharger,Lobotomy,1999,TRABSEN128F424AA36,3M2wnHPA0BZlCPUhgMIhjR,0.581,0.967,4,-7.433,0,0.0504,0.0000492,0.514,0.137,0.658,135.019,243200
Sunnyland Slim,Chicago Blues Festival 1974 With Jimmy Dawkins,I Got To Quit My Baby,2005,TRABTNM128F92DCC68,3TtUYhs6Xuq2DvjqLktl6w,0.55,0.434,2,-11.442,1,0.0478,0.282,0.059,0.259,0.862,149.788,149013
SKOLD vs. KMFDM,SKOLD vs. KMFDM,Alkohol,2009,TRABUIN128F93022FF,5cLTc0BN87jepPzsAkm3W6,0.631,0.812,10,-6.235,1,0.0527,0.00241,0.0385,0.629,0.523,127.033,328240
Ayo,Outta Babylon & I Love You,I Love You,2004,TRABUDI128F92D0C8C,0c3LWAENXy2lyutNmOY3Il,0.815,0.294,8,-16.841,1,0.047,0.0335,0.00000301,0.0902,0.841,127.993,231425
Melt Banana,Cactuses Come In Flocks,Talk Like POP,1994,TRABUZC128F4278978,7dOif5d6lOa870K6YQIYbB,0.619,0.831,10,-3.808,1,0.58,0.253,0.956,0.148,0.528,91.917,51627
De La Ghetto,Massacre Musical,Es dificil,2008,TRABUVN128F930633C,2yIt5SGOZCHE2PuzcXfOof,0.668,0.731,11,-5.942,0,0.11,0.0225,0.000497,0.184,0.406,193.986,280680
Two Man Advantage,Don't Label Us,The Sweep,2000,TRABUAQ128F4258028,0ovbTOAL5XSjsUVPr5dT5W,0.388,0.979,2,-6.051,0,0.228,0.00968,0.0000256,0.337,0.494,106.237,50840
The Red Telephone,Aviation,Have You Seen Her,2000,TRABVLV128EF354D20,1mIdNYieMiL1OdKHG1zjYa,0.32,0.707,2,-6.617,1,0.0323,0.152,0.0192,0.111,0.167,115.869,273493
M.I.K.E.,Fuego Caliente,Fuego Caliente,2013,TRABVAP128F92E6C22,1q07DHIZIiXkzc8abtn6El,0.589,0.892,6,-9.056,0,0.0636,0.0000212,0.902,0.0264,0.29,139.997,515560
Bill Douglas,Eternity's Sunrise,Karuna,2004,TRABVRO128F92F2A62,4KhrNZiDpo2t3uugifbRzU,0.477,0.0635,10,-18.981,0,0.0519,0.995,0.927,0.0912,0.193,68.637,193920
DJ Slugo,DJ Slugo Juke Chronicles Vol. 10,Whip It,2008,TRABXSN128F92E7B93,2WJVxvnaCimskZJy1Gf3Bg,0.761,0.933,1,-10.14,1,0.0945,0.0000938,0.923,0.0883,0.198,150.018,199200
Joi,Without Zero,The Blessing,2015,TRABXTZ128F14A46A3,33qbGrW9pO6RHY7YHs4diJ,0.587,0.906,7,-8.259,1,0.0491,0.0642,0.869,0.0861,0.313,96.033,335347
S. Solis y Orquesta,Instrumental Acordeón (28 Hits in Accordion),La Vida En Rosa,2000,TRABXGB128F9305C59,2FNbelwEkg8ZNXZtfqtpAS,0.24,0.219,0,-11.066,1,0.0389,0.737,0.00352,0.0926,0.13,88.118,182200
Dee Clark,Greatest Hits,Little Bitty Pretty One,2009,TRABXLH128F935F8E7,2WBpLP0MnaVPViIzBJUj2Z,0.5,0.631,10,-12.306,0,0.25,0.81,0.0022,0.0971,0.67,93.222,128400
Commissioned,Matters Of The Heart,You Can Always Come Home,1994,TRABXJO12903CF0E6F,3VvTLNlNSWXLcI8JQUTGmE,0.691,0.635,8,-9.013,1,0.0682,0.0718,0.0000996,0.16,0.557,157.871,343667
Rickie Lee Jones,Naked Songs Live And Acoustic,Skeletons (Live Acoustic Version),1995,TRABYOS12903CC4A81,0IEjWfiKSvaEiMgWlAw5wE,0.447,0.026,7,-22.085,1,0.0429,0.93,0.00000625,0.733,0.337,81.718,221133
Taboo,Italo Dance Collection_ Vol. 1,Sous la Tour Eiffel,2015,TRABZYK12903D000B2,45KJ08HxhaBLjJSOTZ5gTT,0.737,0.993,2,-6.612,1,0.0324,0.0246,0.00275,0.0619,0.968,131.981,302132
Der Moderne Man,Drama_ Spiel und Blut (Das Archiv Teil 1),Heute,2012,TRABZSI128F9329184,63L9pwemCuVec73bPCPPQu,0.523,0.906,4,-8.804,1,0.0521,0.0114,0.918,0.201,0.916,147.499,183307
Tora Tora,Before & After,Wasted Love,2009,TRABZKU12903CBFE15,2AkkkFFCCSS8mNaHkk31hk,0.318,0.895,9,-7.57,0,0.0691,0.0223,0.000394,0.276,0.306,140.791,233040
James Taylor,James Taylor Live,Steamroller Blues,1993,TRABZRZ128F42628AD,1I2RS5C10KUMY5Cbx1Etzs,0.548,0.523,7,-10.236,1,0.0354,0.103,0.00503,0.985,0.353,102.66,324027
The Nelons,Something Beautiful,Hallelujah,2018,TRACAXH128F931F3CF,5junyRfqnozdjSv85rKWXP,0.271,0.408,7,-7.695,0,0.0281,0.67,0,0.12,0.307,82.035,270907
Ulytau,Two Warriors,Winter (Four Seasons),2013,TRACAUP128F931AC60,3zsR8MlFDnK4oOdFjOnk3m,0.554,0.737,5,-5.389,0,0.0324,0.048,0.729,0.0794,0.571,140.066,236107
Tanto Metro & Devonte,The Beat Goes On,Sometimes,2005,TRACACF128F4261F09,5YU0i7JcEkeV7zcbVFBdpr,0.525,0.453,9,-7.259,0,0.0264,0.0273,0,0.214,0.181,138.486,298267
Der Moderne Man,Drama_ Spiel und Blut (Das Archiv Teil 1),Blaue Matrosen (live),2012,TRACBMH128F93291A4,3YwLk5qjCBhUXDkTdn61KW,0.322,0.713,4,-8.703,1,0.0743,0.795,0,0.599,0.464,104.841,159560
La Portuaria,Devorador De Corazones,Alguna Vez,1993,TRACBRM128F425C2C3,13Sh5MAlGQrKyOMBY3hog8,0.593,0.77,4,-14.145,1,0.039,0.0095,0.226,0.116,0.957,112.04,147960
GG Allin,Suicide Sessions / Anti-Social Personality Disorder: Live,I Live to Be Hated,2009,TRACBEI128F42558D3,4CTnHRHGESz2nsJ2IuFhYy,0.215,0.898,8,-11.523,1,0.321,0.0504,0.0169,0.338,0.209,148.923,121693
Hemdale,Rad Jackson,Rotting Fumes,2002,TRACBSI128F428CC57,2iwslpEC92mXl5IPwwIq9h,0.32,0.606,1,-9.987,1,0.255,0.000703,0.873,0.136,0.218,171.983,107573
Foxy Brown,Ill Na Na,If I...,1996,TRACCSW128F148C7C3,3lZpFRnVx0eaO0IY3Y6tR9,0.894,0.575,10,-9.447,0,0.206,0.114,0.0000013,0.187,0.516,93.037,222867
String Trio Of New York,Intermobility,Ju Ju,2006,TRACCVN128F92DAE3D,6Vt4nK6H2heXzjZlPvMwz6,0.591,0.177,11,-18.24,0,0.0822,0.482,0.707,0.0646,0.409,99.294,392427
Ultraviolence,Blown Away,I Destructor (Lenny Dee Mix),1994,TRACCLY12903CDD7C4,5tO87NS1Han2CE24mpMV04,0.531,0.823,4,-9.167,0,0.0766,0.0066,0.898,0.29,0.0393,174.533,367160
Utopia,Utopia,On My Feet Again,2009,TRACCQM12903CACC1E,4hDOtH6r7UHqOgCt7S01of,0.465,0.865,2,-9.989,1,0.0595,0.0571,0.002,0.271,0.83,114.31,240547
Jo-El Sonnier,Cajun Blood,Cajun Blood,1999,TRACDSI128F425C0B4,21knugAxsvNpnxJialu5LD,0.347,0.526,7,-5.193,1,0.0431,0.219,0.000236,0.11,0.24,175.705,233000
Murskahumppa,Poikamies (2009),Poikamies (2009),2009,TRACDZL12903D024D2,1zX4LdSx9hhijoxBaJb0Xr,0.283,0.858,9,-7.542,1,0.0528,0.000193,0.647,0.456,0.514,130.688,145933
Lili Ivanova,Tango,Pak shte te obicham,2003,TRACDDN128F92FFADC,7cTPnEzjrNIxY5DaSZVRZS,0.699,0.72,6,-9.681,0,0.0353,0.0243,0.408,0.304,0.962,123.994,258000
Furry Lewis,In His Prime 1927-1928,Good Looking Girl Blues,2005,TRACDLK12903CE71B7,1XuIcawLoNPOKAwcwZdnME,0.581,0.197,8,-11.41,1,0.0438,0.979,0.000107,0.118,0.381,137.371,173200
Vanessa Bell Armstrong,Walking Miracle,Til The Victory's Won,2007,TRACEBJ128EF343585,2NUqIvguvI5rYzwC6WsLU6,0.782,0.637,1,-2.133,1,0.0338,0.0204,0,0.248,0.172,121.019,231493
Seamus Egan,When Juniper Sleeps,Lullaby,2006,TRACEGL12903CEE923,56FkAON8auzvcAVWnyOFnt,0.512,0.0714,9,-18.277,0,0.038,0.901,0.81,0.111,0.231,119.275,205293
C.C. Adcock,C.C. Adcock,Good Loving,2005,TRACETS128F9313A75,5D9dR2FCi6LH2cD5pOjIW7,0.436,0.918,7,-6.82,1,0.0514,0.0269,0.0093,0.223,0.826,172.588,121133
Angelo Badalamenti,The Edge Of Love,Love Me,1992,TRACEQQ128F426C3E3,3XSD6futyyccFfWa8GRSow,0.17,0.254,1,-18.232,1,0.0405,0.933,0.937,0.118,0.0327,85.565,232733
Acorps de Rue,Dans un élan,Chanson Réaliste,2008,TRACFTL12903C93AAC,3T8VKdJBvutUAbeECOZxbB,0.577,0.357,9,-6.604,0,0.152,0.73,0,0.123,0.758,171.629,194800
John Williams,An American Journey,American Journey/IV. Arts and Sports,2013,TRACFZM128F4295740,5dQ01k4mZoBhUDycenONHX,0.372,0.367,2,-16.568,1,0.0374,0.845,0.942,0.0852,0.378,139.169,158373
C-Side & Petit Mal,Swarm Warnings,Mudhump,2000,TRACFEG128F426F4F3,5YQI69LBKUaixXyZA3jxJm,0.5,0.772,4,-10.582,0,0.108,0.796,0.0255,0.0879,0.346,115.396,212454
Jewel,Serve The Ego,Serve The Ego (Hani Num Dub),2001,TRACFHZ128F4227BA4,7kBW0l7BWDcnQYUHQHfiBQ,0.807,0.94,10,-6.59,1,0.0593,0.00058,0.805,0.05,0.614,128.001,529920
Our Time Down Here,Live_ Love_ Let Go,Big Guys Throw Cones,2009,TRACFQB12903D06042,2hunuh5xzcEhOarpRv9pA5,0.273,0.978,11,-2.615,1,0.0608,0.0000672,0.0289,0.547,0.782,119.052,75507
DJ Ostkurve,Top of the Mountains Vol. 5,Sailing,2018,TRACGFA128F9364E0C,6UIlnxcPw6xq1td9Vbjbno,0.52,0.972,1,-4.33,0,0.036,0.000114,0.0000387,0.108,0.649,137.978,218906
Roy Rogers,A Cowboy's Songbook,Hi Ho Silver,2000,TRACGHL128F933FF2D,2T1kmuXDSepvo36kWaP5Ai,0.827,0.186,5,-10.686,1,0.0728,0.991,0.00311,0.104,0.751,121.935,154507
Reni,Reni 2001,Slamka Spasa,2001,TRACGHY12903CE8831,2Jq447W0noFCwcOIhTySUm,0.707,0.892,0,-3.264,0,0.0403,0.375,0,0.195,0.864,139.011,223360
Leonard Kwan,Ke'ala's Mele,Kanaka 'o Mose,1995,TRACGLI12903CE2C06,5wbld0l3Gdf4bc5lKMHPRL,0.635,0.142,11,-22.25,1,0.0398,0.85,0.859,0.106,0.384,83.005,203227
David Martin,Something in Your Eyes,It Must Be,2007,TRACHTD128F92EE238,7IbnEAsger0BkX2Kxjh97W,0.436,0.502,0,-9.406,1,0.028,0.412,0.0000167,0.0845,0.207,134.003,286440
Justin,Justin In Love With HK Philharmonic Concert Live,Kong,2005,TRACIIZ128EF34E497,5hQwJOWx41wiWH305GT7pf,0.603,0.338,1,-13.619,1,0.0297,0.563,0,0.104,0.341,133.975,244019
Hatesex,Unwant,The Greed Of Our Stare,2005,TRACJVT12903CB0F49,5wO3F8tmGyWlxTU9fSIyAF,0.406,0.67,0,-8.308,1,0.0271,0.000469,0.738,0.114,0.35,180.046,307867
Rui Da Silva,Praying Mantis,The Contracting Perception Of Consciousness,2006,TRACJOQ12903CBBB64,2KhYdGZKZVJxqVABVKX3u5,0.887,0.523,11,-12.774,0,0.0795,0.00672,0.651,0.104,0.761,123.011,448627
Kiprich,Chiney Flava Riddim,Dem a Talk,2013,TRACKNZ12903CCE63A,6pwEgPIiLhaubmZhjOR1w1,0.622,0.909,8,-4.799,0,0.234,0.211,0,0.0823,0.817,111.726,158438
We Show Up On Radar,Growing A Girl EP,Red Balloon,2003,TRACLDC128F427ADC7,1ARWKKWJwd0BUuDlRXyyOg,0.453,0.399,5,-11.147,0,0.029,0.228,0.793,0.376,0.0649,79.378,124467
Hank Locklin,A Year Of Time,Rio Grande Waltz,2017,TRACLMN128F92D2B6E,5ARiARDBFR2jXPBNi0xRuJ,0.601,0.339,3,-8.182,1,0.0281,0.985,0,0.124,0.664,98.84,165233
Superchumbo,Irresistible!,Irresistible! (Maurel & Fauvrelle LESS Mix),2002,TRACLCX128F4251463,1mumeomFvvHEXyctVA7W1j,0.733,0.967,6,-8.106,1,0.0748,0.0666,0.919,0.25,0.636,127.998,673227
Yahir,Con el alma entre las manos,No seamos tontos,2006,TRACMTI128EF342A56,59OAfqBKd0FJLn5QzsN3mx,0.583,0.719,0,-5.598,1,0.0267,0.641,0,0.113,0.347,131.927,216813
Luiz Bonfa,Solo in Rio 1959,A Brazilian in New York,2005,TRACMJP128F9349362,4zk4Xi6arVXhlxsSoQaov2,0.496,0.17,4,-18.303,0,0.0449,0.939,0.657,0.114,0.251,104.311,305667
The Winans,Carry me Home - The Power Of Gospel,Everything You Touch Is a Song,2005,TRACMXG12903CA2541,6m8ks85HzlQ70K98iQzrQv,0.484,0.414,8,-8.107,1,0.04,0.894,0.0000158,0.117,0.161,102.376,320440
Mack and Jamie,Extreme Channel Surfing,Slimy Little Troll,2002,TRACMAD128F429742B,4l41deLoVWpk7F7bUbVRuc,0.659,0.258,5,-13.83,0,0.941,0.836,0,0.267,0.77,81.549,66440
Brian Dullaghan,Have Fun Learning - 14 Sing Along & Learn Along Songs,My First Day At School,2007,TRACMTN128F92FB689,7Kk7Cw3vyQxZWdFThsC6vQ,0.683,0.287,2,-21.844,1,0.0446,0.428,0.0000593,0.105,0.654,61.495,116707
Chango Spasiuk,15 Grandes Éxitos,De Bombacha Y Alpargatas,2015,TRACMOL128F424B776,41pD2smhxuZedl7361KsK0,0.653,0.523,2,-13.112,1,0.221,0.0272,0.858,0.243,0.51,97.505,131573
Angélla Christie,Eternity,Walk With Me,1996,TRACMKA12903CB078D,2uHEDyEbU6DM6hjdb9hLjn,0.789,0.662,5,-8.854,0,0.0334,0.211,0.743,0.0273,0.721,111.507,350533
Papa Wemba,M'Zee Fulangenge,Maria,1991,TRACNDP12903CDA658,4UMtRnqmh4bndNYlJVtSl0,0.506,0.62,4,-14.099,0,0.0299,0.0529,0.00000915,0.115,0.957,94.895,247133
Pablo Montero,Donde Estas Corazon,Ni Gota De Rencor,1999,TRACNBU128F930EDBB,3iJQBZ2WqZnG10kE5O9GhJ,0.595,0.375,2,-7.333,1,0.0256,0.806,0,0.0955,0.729,99.756,199933
Sweet,Sweetlife,Airheads,2002,TRACNXU12903C9CDFF,6YjUkPSDkJBrsfsPULUnIP,0.439,0.72,4,-4.789,1,0.027,0.0921,0.00000369,0.0658,0.352,84.136,320400
Barbarito Diez,Asi Bailaba Cuba Vol. Iv,Sublime Ensoñacion,1996,TRACNNR128F4270A66,6XDPkMEHvKWtPmRoBCFbKi,0.492,0.274,0,-8.218,0,0.0333,0.204,0,0.128,0.417,118.329,157820
Tom Petty And The Heartbreakers,Greatest Hits,Mary Jane's Last Dance,2008,TRACNAS128F14567C6,3dmqIB2Qxe2XZobw9gXxJ6,0.464,0.655,7,-9.058,0,0.0608,0.0272,0.00000134,0.328,0.531,169.515,273600
Silvério Pessoa,Cabeça elétrica coração acústico,Eu vi a maquina voadora,2006,TRACONJ128F4272091,05Fa3F4w6tvOICWV2oZaPk,0.441,0.471,4,-11.103,1,0.0802,0.635,0,0.305,0.526,143.577,364493
John Holt,John Holt's 21 Miles From You,The Tide Is High - Original,2017,TRACOTY128F930BCFA,5n4ycCwrPBUlBAupEv1Cny,0.512,0.318,7,-10.123,1,0.0302,0.127,0,0.196,0.841,96.389,164280
Mercedes Castro,Que Todo Mexico Se Entere,El Cara Bonita,2000,TRACPYD128EF362285,3849Kdm8H2NHsqQCaszUgX,0.777,0.586,3,-6.859,1,0.0699,0.714,0.0000606,0.121,0.974,129.338,129694
Antonio Bribiesca,Mexico Gran Colección Ranchera - Antonio Bribiesca,Anillo de compromiso,2015,TRACQDO12903CAE2DA,0EcBvuKa70TZXRtoP4BDed,0.64,0.283,7,-13.575,1,0.0709,0.936,0.89,0.0863,0.446,141.75,187453
Raze,The Plan,Follow Your Dreams (The Plan Album Version),2000,TRACRVJ128F14661D6,0dfncGnaBY81dfwXkyJmbr,0.757,0.875,6,-3.252,1,0.0376,0.0666,0.0000153,0.339,0.94,108.841,196587
DJ Spinn,Juke Trax Online Vol. 6,Feelin You,2008,TRACRHZ12903CAF6A4,7j6NLGVKlzRwpeZ2CUaZna,0.776,0.382,4,-6.089,1,0.322,0.00412,0.863,0.0786,0.704,160.08,313160
Janet Paschal,The Good Road,God Will Make A Way,1997,TRACRNT128F426FA27,5KFl6V1IO2kfzQnLXUwx2s,0.367,0.259,7,-11.262,1,0.0347,0.706,0,0.144,0.158,121.942,316307
Theodis Ealey,Let Me Put The Head In It - Blues And Soul Mix,This Time I Know,2005,TRACRJZ128F4244626,2GLbUTiEEkrvsvMDh8zuM1,0.758,0.638,1,-6.95,1,0.0273,0.0651,0,0.0715,0.672,99.233,227453
Steve Wilson,Steppin' It Up A Notch,Your God Isn't Listening,2002,TRACSFC12903CEAF33,5rJlXg5oPN9hyQD8gwiqu0,0.566,0.399,7,-14.498,1,0.0244,0.156,0.000247,0.299,0.572,99.982,260387
Quadro Nuevo,CinéPassion,"Der Wind Hat Mir Ein Lied Erzählt (from ""La Habanera"")",2002,TRACSVW128F14ACB60,5W5nB3Pu20qf0SBORfM8oQ,0.343,0.28,2,-9.143,1,0.0357,0.605,0.00341,0.116,0.315,116.215,221240
The Charms,Trelokoritso - Oles oi epityxies,Ascolta mio dio,2008,TRACTIU12903D1614D,122WEqvDD58TZrMtwDITWt,0.669,0.848,7,-6.472,1,0.276,0.557,0,0.138,0.795,149.104,131013
Kris Kristofferson,Broken Freedom Song: Live From San Francisco,Road Warrior's Lament,2003,TRACTHF128F4295A22,4AdsgXuGXrm2mfMbSWMOFF,0.469,0.19,9,-17.451,1,0.0364,0.488,0.000142,0.692,0.506,142.169,259680
Arkona,Vosrozdenie,Zalozniy,2008,TRACUJR12903CA4D39,6fiIBJlj4wIrtzlUyQ9Wn3,0.29,0.796,9,-4.508,0,0.0542,0.000698,0.00000449,0.72,0.199,159.963,247147
Cândido,Destinos,Sentimentos Desiguais,1997,TRACUNV128F422663D,2TDMvsCspl1Mjo5cpKrozx,0.661,0.743,6,-5.063,0,0.0323,0.0371,0,0.12,0.751,167.892,232840
Horace Andy,Livin' It Up + Dub: Limited edition,Rastafari Prophecy,2006,TRACUUJ128F422EFF8,5TytMbHPCY0WXleVRELeNw,0.747,0.658,9,-6.741,0,0.0858,0.0253,0.000175,0.355,0.668,151.452,224267
Los Van Van,Llego... Van Van,Consuelate Como Yo,2003,TRACVGF128F4277847,2Fpijaat7YR2iuQDIQT2ks,0.534,0.765,6,-5.499,0,0.091,0.365,0.0115,0.498,0.708,96.488,263600
DJ Spinn,Juke Trax Online Vol. 6,Bounce Back,2007,TRACWBD12903CAF664,2mI20kUdIyOaAhtgeonE4g,0.872,0.513,4,-5.556,0,0.303,0.0118,0.027,0.0856,0.929,160.014,158213
Prisma,Contact?,winning friends,2005,TRACWRW12903CC3CA2,2L3G3KpEh2VcJ3nZ3S08AA,0.409,0.786,9,-10.938,1,0.0379,0.0000837,0.553,0.469,0.328,128.655,219667
Ultimate Fakebook,This Will Be Laughing Week,Brokÿn Nëedle,2000,TRACWFA128F4265BDF,3cGySjl34OdxUAjmwyzyXQ,0.527,0.88,9,-3.347,1,0.0572,0.00398,0.0000111,0.396,0.407,116.042,149560
Champion Jack Dupree,Champion Jack Dupree Of New Orleans,Christina Christina Blues,1991,TRACXTK128F92CC024,4NBHWCz7bmGwRXNqN9ychq,0.619,0.14,8,-18.692,1,0.0478,0.988,0.0666,0.119,0.208,95.478,200800
Bally Sagoo,Wham Bam!! Bhangra Remixes,Mele Wich Ayee (Shaan Remix),2007,TRACXRL128F9317EAE,1oMlSWNUMptnh4aqr2LewG,0.773,0.567,6,-13.135,0,0.112,0.0351,0.201,0.054,0.679,111.958,373387
Checkers,Flame In My Heart,Oh Oh Oh Baby,2016,TRACXJP128F92E3693,2SfqR1BSqE6U8EJsWNtR56,0.55,0.465,1,-10.051,1,0.0628,0.927,0,0.296,0.771,134.367,135602
Blingtones,Sonneries ch'ti By Blingtones,La boîte à hein biloute,2009,TRACYDQ128F932C763,6cDlkG0wrRHBT2b6NqI6S0,0,0.00697,3,-14.34,1,0,0.0000997,0.00000469,0.0711,0,0,10514
Slightly Stoopid,Winter Tour '05 - '06,Jimi Baby,2011,TRACYOV128F92CB613,04uGsEzXnvFxNtZzGzyuqn,0.369,0.595,9,-10.736,1,0.0468,0.00549,0.478,0.48,0.35,171.986,369276
Charlie Cruz,Asi Soy,Si No Te Hubieras Ido,2000,TRACYHQ12903CCE804,7kF3jIaZ8qVGOELgEa11HJ,0.74,0.954,2,-2.161,1,0.047,0.448,0.000915,0.0368,0.83,100.326,288840
True Believers,Break Through,I Worship You,2008,TRACYND128F423E23D,5tDproI9AV1tBgep4f2qsf,0.535,0.444,4,-8.368,1,0.0306,0.154,0,0.0971,0.24,92.984,281893
Tom Barabas,Mosaic,Melodioso,1995,TRACZPB128F92FBE3F,0ISOngUUqKv9mN7iah1qAh,0.57,0.297,4,-13.157,0,0.0308,0.745,0.976,0.123,0.156,121.019,249200
Frederik,Kinderlieder Vol.2,Dornröschen war ein schönes Kind - Karaoke,2009,TRADASY128F92FDD54,4QxaHJiUTDRA11U1iEtW3J,0.785,0.664,0,-8.795,1,0.0265,0.107,0.265,0.0627,0.884,95.974,164147
Sophie Tucker,Aren't Women Wonderful,Complainin',2018,TRADBVT12903CE19B2,0nyPsWZ6VX3Zy9WSCCJM6B,0.754,0.261,10,-10.7,1,0.147,0.995,0,0.24,0.6,101.899,181733
DJ Quik,Trauma,Pacific Coast Remix,2005,TRADBUP128EF354F6C,64wsMAK8p6s4UQqiMCB4OO,0.815,0.643,7,-4.91,1,0.235,0.132,0,0.0413,0.517,100.066,260365
Uman,You Are Here,People of cloud nine,1999,TRADBQM128F92F79EF,6B9BWGuMEn3g1FUFtkzwVJ,0.496,0.409,10,-15.019,0,0.0396,0.845,0.752,0.0888,0.0994,199.775,344267
